Key,Type,Desc,English,Polish,Spanish,Portuguese
YerbaAdditive/141Additive,Text,,Catuaba,Catuaba,,
YerbaAdditive/142Additive,Text,,Ilex Guayusa,Ilex Guayusa,,
YerbaAdditive/143Additive,Text,,Boldo,Boldo,,
YerbaAdditive/14Additive,Text,,Dark Grape,Ciemne Winogrono,,
YerbaAdditive/15Additive,Text,,Green Grape,Zielone Winogrono,,
YerbaAdditive/16Additive,Text,,Kiwi,Kiwi,,
YerbaAdditive/17Additive,Text,,Apricot,Morela,,
YerbaAdditive/18Additive,Text,,Peach,Brzoskwinia,,
YerbaAdditive/19Additive,Text,,UFO Peach,UFO Brzoskwinia,,
YerbaAdditive/1Additive,Text,,Red Apple,Czerwone Jabłko,,
YerbaAdditive/20Additive,Text,,Raspberry,Malina,,
YerbaAdditive/21Additive,Text,,Strawberry,Truskawka,,
YerbaAdditive/22Additive,Text,,Cherry,Wiśnia,,
YerbaAdditive/23Additive,Text,,Blueberry,Borówka Amerykańska,,
YerbaAdditive/24Additive,Text,,Blackberry,Jeżyna,,
YerbaAdditive/25Additive,Text,,Wild Strawberry,Poziomka,,
YerbaAdditive/26Additive,Text,,Red Currant,Czerwona Porzeczka,,
YerbaAdditive/27Additive,Text,,Date,Daktyl,,
YerbaAdditive/28Additive,Text,,Gooseberry,Agrest,,
YerbaAdditive/29Additive,Text,,Avocado,Awokado,,
YerbaAdditive/2Additive,Text,,Pear,Gruszka,,
YerbaAdditive/30Additive,Text,,Coconut,Kokos,,
YerbaAdditive/31Additive,Text,,Mango,Mango,,
YerbaAdditive/32Additive,Text,,Pineapple,Ananas,,
YerbaAdditive/33Additive,Text,,Pomelo,Pomelo,,
YerbaAdditive/34Additive,Text,,Papaya,Papaja,,
YerbaAdditive/35Additive,Text,,Melon,Melon,,
YerbaAdditive/36Additive,Text,,Quince,Pigwa,,
YerbaAdditive/37Additive,Text,,Granat,Granat,,
YerbaAdditive/38Additive,Text,,Fig,Figa,,
YerbaAdditive/39Additive,Text,,Lychee,Liczi,,
YerbaAdditive/3Additive,Text,,Green Apple,Zielone Jabłko,,
YerbaAdditive/40Additive,Text,,Rhubarb,Rabarbar,,
YerbaAdditive/41Additive,Text,,Barberry,Berberys,,
YerbaAdditive/42Additive,Text,,Rowanberry,Jarzębina,,
YerbaAdditive/43Additive,Text,,Dog Rose,Dzika Róża,,
YerbaAdditive/44Additive,Text,,Pitahaya,Pitaja,,
YerbaAdditive/45Additive,Text,,Carambola,Karambola,,
YerbaAdditive/46Additive,Text,,Durian,Durian,,
YerbaAdditive/47Additive,Text,,Rambutan,Rambutan,,
YerbaAdditive/48Additive,Text,,Annona,Annona,,
YerbaAdditive/49Additive,Text,,Persimmon,Kaki (Persymona),,
YerbaAdditive/4Additive,Text,,Yellow Pear,Żółta Gruszka,,
YerbaAdditive/50Additive,Text,,Passion Fruit,Marakuja,,
YerbaAdditive/51Additive,Text,,Pepino Melon,Melon Pepino,,
YerbaAdditive/52Additive,Text,,Horned Melon,Ogórek Kiwano,,
YerbaAdditive/53Additive,Text,,Kumquat,Kumkwat,,
YerbaAdditive/54Additive,Text,,Mangosteen,Mangostan,,
YerbaAdditive/55Additive,Text,,Tamarillo,Tamarillo,,
YerbaAdditive/56Additive,Text,,Snake Fruit,Salak (Wężowy Owoc),,
YerbaAdditive/57Additive,Text,,Physalis,Physalis,,
YerbaAdditive/58Additive,Text,,Noni,Noni (Morwa Indyjska),,
YerbaAdditive/59Additive,Text,,Jack Fruit,Dżakfrut,,
YerbaAdditive/5Additive,Text,,Banana,Banan,,
YerbaAdditive/60Additive,Text,,Chive,Szczypiorek,,
YerbaAdditive/61Additive,Text,,Carrot,Marchewka,,
YerbaAdditive/62Additive,Text,,Pumpkin,Dynia,,
YerbaAdditive/63Additive,Text,,Onion,Cebula,,
YerbaAdditive/64Additive,Text,,Chili Pepper,Papryka Chili,,
YerbaAdditive/65Additive,Text,,Garlic,Czosnek,,
YerbaAdditive/66Additive,Text,,Guarana,Guarana,,
YerbaAdditive/67Additive,Text,,Honey,Miód,,
YerbaAdditive/68Additive,Text,,Coffee,Kawa,,
YerbaAdditive/69Additive,Text,,Cinnamon,Cynamon,,
YerbaAdditive/6Additive,Text,,Lemon,Cytryna,,
YerbaAdditive/70Additive,Text,,Stevia,Stewia,,
YerbaAdditive/71Additive,Text,,Tea,Herbata,,
YerbaAdditive/72Additive,Text,,Chocolate,Czekolada,,
YerbaAdditive/73Additive,Text,,Cactus,Kaktus,,
YerbaAdditive/74Additive,Text,,Mint,Mięta,,
YerbaAdditive/75Additive,Text,,Ginger,Imbir,,
YerbaAdditive/76Additive,Text,,Aloe,Aloes,,
YerbaAdditive/77Additive,Text,,Hop,Chmiel,,
YerbaAdditive/78Additive,Text,,Alga,Alga,,
YerbaAdditive/79Additive,Text,,Bamboo,Bambus,,
YerbaAdditive/7Additive,Text,,Tangerine,Mandarynka,,
YerbaAdditive/80Additive,Text,,Milk,Mleko,,
YerbaAdditive/81Additive,Text,,Pumpkin Seeds,Pestki Dyni,,
YerbaAdditive/82Additive,Text,,Sunflower Seeds,Pestki Słonecznika,,
YerbaAdditive/83Additive,Text,,Beer,Piwo,,
YerbaAdditive/84Additive,Text,,Wine,Wino,,
YerbaAdditive/85Additive,Text,,Walnut,Orzech Włoski,,
YerbaAdditive/86Additive,Text,,Wheat,Pszenica,,
YerbaAdditive/87Additive,Text,,Hazelnut,Orzech Laskowy,,
YerbaAdditive/88Additive,Text,,Pistachio,Pistacja,,
YerbaAdditive/89Additive,Text,,Spruce Branch,Świerk,,
YerbaAdditive/8Additive,Text,,Orange,Pomarańcza,,
YerbaAdditive/90Additive,Text,,Oak Leaf,Liść Dębu,,
YerbaAdditive/91Additive,Text,,Morel,Smardz,,
YerbaAdditive/92Additive,Text,,Mold,Pleśń,,
YerbaAdditive/93Additive,Text,,Yeast,Drożdże,,
YerbaAdditive/94Additive,Text,,Mandrake,Mandragora,,
YerbaAdditive/95Additive,Text,,Hemp,Konopia,,
YerbaAdditive/96Additive,Text,,Lemongrass,Trawa Cytrynowa,,
YerbaAdditive/97Additive,Text,,Spices,Przyprawy,,
YerbaAdditive/98Additive,Text,,Rose,Róża,,
YerbaAdditive/99Additive,Text,,Lavenda,Lawenda,,
YerbaAdditive/9Additive,Text,,Grapefruit,Grejpfrut,,
